Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8605	8605	8605	8602
Total length (>= 1000 bp)	8605	8605	8605	8602
Total length (>= 5000 bp)	8605	8605	8605	8602
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8605	8605	8605	8602
Total length	8605	8605	8605	8602
Reference length	8638	8638	8638	8638
GC (%)	40.62	40.62	40.62	40.61
Reference GC (%)	40.62	40.62	40.62	40.62
N50	8605	8605	8605	8602
NG50	8605	8605	8605	8602
N90	8605	8605	8605	8602
NG90	8605	8605	8605	8602
auN	8605.0	8605.0	8605.0	8602.0
auNG	8572.1	8572.1	8572.1	8566.2
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	15427	15427	15427	15426
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
Mapped (%)	113.59	113.59	113.59	113.58
Reference mapped (%)	113.56	113.56	113.56	113.56
Properly paired (%)	113.09	113.09	113.09	113.07
Reference properly paired (%)	113.06	113.06	113.06	113.06
Avg. coverage depth	508	508	508	508
Reference avg. coverage depth	507	507	507	507
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	100.000	100.000	100.000
Duplication ratio	1.000	1.000	1.000	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	0.00	0.00	0.00	11.63
# indels per 100 kbp	81.35	81.35	81.35	93.00
Largest alignment	8605	8605	8605	8602
Total aligned length	8605	8605	8605	8602
NA50	8605	8605	8605	8602
NGA50	8605	8605	8605	8602
NA90	8605	8605	8605	8602
NGA90	8605	8605	8605	8602
auNA	8605.0	8605.0	8605.0	8602.0
auNGA	8572.1	8572.1	8572.1	8566.2
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	1	1
LGA90	1	1	1	1
