Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8609	8606	5086	8606
Total length (>= 1000 bp)	8609	8606	5086	8606
Total length (>= 5000 bp)	8609	8606	5086	8606
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8609	8606	5086	8606
Total length	8609	8606	5086	8606
Reference length	8636	8636	8636	8636
GC (%)	40.70	40.58	40.25	40.53
Reference GC (%)	40.59	40.59	40.59	40.59
N50	8609	8606	5086	8606
NG50	8609	8606	5086	8606
N75	8609	8606	5086	8606
NG75	8609	8606	-	8606
L50	1	1	1	1
LG50	1	1	1	1
L75	1	1	1	1
LG75	1	1	-	1
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
Mapped (%)	99.43	99.58	39.39	99.57
Reference mapped (%)	99.58	99.58	99.58	99.58
Properly paired (%)	98.86	99.16	23.23	99.15
Reference properly paired (%)	99.16	99.16	99.16	99.16
Avg. coverage depth	505	507	325	507
Reference avg. coverage depth	507	507	507	507
Coverage >= 1x (%)	100.0	100.0	76.84	100.0
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	4	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	100.000	47.141	100.000
Duplication ratio	1.001	1.000	1.254	1.000
# N's per 100 kbp	0.00	0.00	23200.94	0.00
# mismatches per 100 kbp	162.72	162.72	641.03	185.96
# indels per 100 kbp	139.47	69.74	49.31	69.74
Largest alignment	8604	8606	4066	8606
Total aligned length	8604	8606	4066	8606
NA50	8604	8606	4066	8606
NGA50	8604	8606	-	8606
NA75	8604	8606	4066	8606
NGA75	8604	8606	-	8606
LA50	1	1	1	1
LGA50	1	1	-	1
LA75	1	1	1	1
LGA75	1	1	-	1
