Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17521	17521	17521	17517
Mapped (%)	99.55	99.55	99.55	99.53
# properly paired	17442	17442	17442	17434
Properly paired (%)	99.1	99.1	99.1	99.06
# singletons	79	79	79	83
Singletons (%)	0.45	0.45	0.45	0.47
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	508	508	508	508
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Coverage >= 5x (%)	100.0	100.0	100.0	100.0
Coverage >= 10x (%)	100.0	100.0	100.0	100.0
# reference mapped	17519	17519	17519	17519
Reference mapped (%)	99.54	99.54	99.54	99.54
# reference properly paired	17438	17438	17438	17438
Reference properly paired (%)	99.08	99.08	99.08	99.08
# reference singletons	81	81	81	81
Reference singletons (%)	0.46	0.46	0.46	0.46
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	507	507	507	507
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
