Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17396	17377	17120	16060
Mapped (%)	98.84	98.73	97.27	91.25
# properly paired	17192	17154	16640	14756
Properly paired (%)	97.68	97.47	94.55	83.84
# singletons	204	223	480	1304
Singletons (%)	1.16	1.27	2.73	7.41
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	504	504	497	459
Coverage >= 1x (%)	100.0	100.0	97.25	99.3
Coverage >= 5x (%)	100.0	100.0	97.25	99.23
Coverage >= 10x (%)	100.0	100.0	97.25	99.23
# reference mapped	17396	17396	17396	17396
Reference mapped (%)	98.84	98.84	98.84	98.84
# reference properly paired	17192	17192	17192	17192
Reference properly paired (%)	97.68	97.68	97.68	97.68
# reference singletons	204	204	204	204
Reference singletons (%)	1.16	1.16	1.16	1.16
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	504	504	504	504
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 10x (%)	100.0	100.0	100.0	100.0
