Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# total reads	17600	17600	17600	17600
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
# mapped	17530	17493	16674	16007
Mapped (%)	99.6	99.39	94.74	90.95
# properly paired	17460	17386	15748	14682
Properly paired (%)	99.2	98.78	89.48	83.42
# singletons	70	107	926	1325
Singletons (%)	0.4	0.61	5.26	7.53
# misjoint mates	0	0	0	0
Misjoint mates (%)	0.0	0.0	0.0	0.0
Avg. coverage depth	506	505	487	457
Coverage >= 1x (%)	100.0	99.92	96.16	99.23
Coverage >= 5x (%)	99.99	99.91	96.16	99.22
Coverage >= 10x (%)	99.92	99.83	96.16	99.15
# reference mapped	17529	17529	17529	17529
Reference mapped (%)	99.6	99.6	99.6	99.6
# reference properly paired	17458	17458	17458	17458
Reference properly paired (%)	99.19	99.19	99.19	99.19
# reference singletons	71	71	71	71
Reference singletons (%)	0.4	0.4	0.4	0.4
# reference misjoint mates	0	0	0	0
Reference misjoint mates (%)	0.0	0.0	0.0	0.0
Reference avg. coverage depth	505	505	505	505
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 5x (%)	99.99	99.99	99.99	99.99
Reference coverage >= 10x (%)	99.92	99.92	99.92	99.92
